#sno	text	description	hex	svg
1	See the Unity	Recognise our shared humanity and common good.	#1F2937	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#1769C2" stroke-width="5"/><g fill="none" stroke="#1769C2" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><path d='M50 82 C45 77 18 60 18 38 C18 24 35 18 45 30 C47 33 49 35 50 36 C51 35 53 33 55 30 C65 18 82 24 82 38 C82 60 55 77 50 82Z'/></g></svg>
2	Seek Unity without Sameness	Value diversity, not uniformity.	#374151	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#18A96B" stroke-width="5"/><g fill="none" stroke="#18A96B" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><circle cx='50' cy='28' r='9'/><circle cx='25' cy='35' r='7'/><circle cx='75' cy='35' r='7'/><path d='M34 68 V55 C34 46 41 40 50 40 C59 40 66 46 66 55 V68 M13 67 V56 C13 50 18 45 25 45 C31 45 35 49 36 54 M87 67 V56 C87 50 82 45 75 45 C69 45 65 49 64 54'/></g></svg>
3	Use Religion as a Bridge	Let it connect, not divide.	#4B5563	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#E9A000" stroke-width="5"/><g fill="none" stroke="#E9A000" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><path d='M50 18 C43 28 40 35 40 43 C40 50 44 55 50 58 C56 55 60 50 60 43 C60 35 57 28 50 18Z M39 38 C28 40 21 47 20 56 C28 61 38 61 46 55 M61 38 C72 40 79 47 80 56 C72 61 62 61 54 55 M20 57 C29 67 40 69 50 61 C60 69 71 67 80 57'/></g></svg>
4	Love the Planet	Live in balance with nature.	#166534	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#18834F" stroke-width="5"/><g fill="none" stroke="#18834F" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><path d='M27 67 C27 42 43 25 72 24 C70 53 54 69 27 67Z M29 70 C40 57 51 47 67 36'/></g></svg>
5	Value Knowledge and Wisdom	Question, learn, seek truth.	#1D4ED8	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#7547B8" stroke-width="5"/><g fill="none" stroke="#7547B8" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><path d='M50 18 C42 18 37 23 37 31 C37 36 40 40 44 42 C39 44 35 48 35 54 C35 62 41 68 50 68 M50 18 C58 18 63 23 63 31 C63 36 60 40 56 42 C61 44 65 48 65 54 C65 62 59 68 50 68 M50 20 V66 M43 30 C46 28 48 29 50 31 M57 30 C54 28 52 29 50 31 M42 52 C45 50 48 51 50 53 M58 52 C55 50 52 51 50 53'/></g></svg>
6	Build Communities	Stronger together, not alone.	#6B21A8	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#E9A000" stroke-width="5"/><g fill="none" stroke="#E9A000" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><path d='M31 39 L39 34 L50 39 L61 34 L69 39 L61 47 L50 43 L39 47Z M18 48 L28 43 L38 48 L31 55 L21 52Z M82 48 L72 43 L62 48 L69 55 L79 52Z M27 60 L50 51 L73 60 M34 57 L34 68 M66 57 L66 68'/></g></svg>
7	Heal, Don't Humiliate	Repair wounds, not create new ones.	#9F1239	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#9A6FD0" stroke-width="5"/><g fill="none" stroke="#9A6FD0" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><circle cx='50' cy='31' r='9'/><path d='M32 70 V58 C32 49 40 43 50 43 C60 43 68 49 68 58 V70 M34 70 H66'/></g></svg>
8	Empower People	Give everyone voice and agency.	#0F766E	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#F15C5C" stroke-width="5"/><g fill="none" stroke="#F15C5C" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><path d='M50 20 V78 M31 29 H69 M50 78 H39 M50 78 H61 M31 29 L22 54 Q31 62 40 54Z M69 29 L60 54 Q69 62 78 54Z M22 54 H40 M60 54 H78'/></g></svg>
9	Seek Justice	Fairness for all, not just the powerful.	#92400E	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#16A8DE" stroke-width="5"/><g fill="none" stroke="#16A8DE" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><circle cx='50' cy='48' r='17'/><path d='M50 18 V24 M22 48 H28 M72 48 H78 M50 65 V76 M44 82 H56 M42 48 C42 41 46 36 50 36 C54 36 58 41 58 48 M42 48 V57 M58 48 V57'/></g></svg>
10	Think Long Term	Act for future generations.	#365314	<svg xmlns="http://www.w3.org/2000/svg" viewBox="0 0 100 100"><circle cx="50" cy="50" r="42" fill="none" stroke="#1688B6" stroke-width="5"/><g fill="none" stroke="#1688B6" stroke-width="5" stroke-linecap="round" stroke-linejoin="round"><path d='M34 19 H66 M34 81 H66 M39 19 C39 30 45 35 50 39 C45 43 39 48 39 61 C39 70 34 75 34 81 M61 19 C61 30 55 35 50 39 C55 43 61 48 61 61 C61 70 66 75 66 81'/></g></svg>
